,,,,,,,,,,,,,CLIENT IDENTIFIER,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,,,,,,,,
628,19,45968,LC/MS Neg,100005716,5610,509.28849,,,,,Lipids,Glycerolipids,1-oleoyl-GPG (18:1)*,0.1642,0.1863,0.5006,0.2163,0.2134,0.3204,0.2421,0.4870,0.5103,1.4334,1.0000,0.4838,0.1536,0.0887,0.0498,0.0287,0.1213,0.0700,0.3882,0.2241
644,20,36602,LC/MS Neg,100001777,5599,597.30453,,,,,Lipids,Phospholipids,1-oleoyl-GPI (18:1)*,0.4221,0.4221,0.4221,0.4221,0.4221,0.4221,0.4221,0.4221,0.4221,0.4463,0.4221,0.4221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,0.0066
721,21,52460,LC/MS Polar,1537,870,802.56018,40811-94-7,5287971,,,Lipids,Phospholipids,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*,0.8856,0.8229,1.1776,0.6384,0.6470,0.5457,0.9467,1.0691,1.0533,0.8683,0.7725,0.7145,0.1546,0.0892,0.0459,0.0265,0.0544,0.0314,0.0634,0.0366
722,22,42449,LC/MS Polar,100001870,762,714.50792,,9546747,,,Lipids,Phospholipids,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.9149,0.7205,0.9210,0.6093,0.7290,0.3395,1.0873,1.6854,1.0357,0.7754,0.7055,0.6937,0.0931,0.0538,0.1629,0.0941,0.2949,0.1702,0.0361,0.0208
723,23,52450,LC/MS Polar,1528,910,833.51845,,,,,Lipids,Phospholipids,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)*,0.3668,0.4013,0.4639,0.3607,0.5583,0.3387,0.4564,0.4944,0.5541,0.5652,0.4562,0.3909,0.0402,0.0232,0.0987,0.0570,0.0402,0.0232,0.0719,0.0415
727,24,52461,LC/MS Polar,1539,853,804.57604,26853-31-6;26853-31-6,6436017,,,Lipids,Phospholipids,1-palmitoyl-2-oleoyl-GPC (16:0/18:1)*,0.9090,1.0173,1.2696,0.6615,0.6788,0.6606,0.8189,1.3580,1.0000,0.7475,0.7524,0.5878,0.1511,0.0872,0.0084,0.0048,0.2240,0.1293,0.0765,0.0441
726,25,19263,LC/MS Polar,1526,765,716.52357,26662-94-2,5283496,,,Lipids,Phospholipids,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1.2533,1.2413,1.2287,1.6478,1.6471,1.6069,1.2879,1.3270,0.7467,1.1405,1.5709,1.0000,0.0100,0.0058,0.0191,0.0110,0.2648,0.1529,0.2429,0.1402
634,26,52448,LC/MS Polar,100000641,745,747.51853,,5283509,,,Lipids,Glycerolipids,1-palmitoyl-2-oleoyl-GPG (16:0/18:1)*,0.8391,1.0484,1.1045,0.9927,1.0075,1.0112,1.0058,1.1902,0.9942,0.9613,1.0739,0.7733,0.1142,0.0659,0.0080,0.0046,0.0898,0.0518,0.1240,0.0716
609,27,21127,LC/MS Neg,100000827,6400,255.23293,542-44-9,14900,,,Lipids,Glycerolipids,1-palmitoylglycerol (16:0),0.6638,1.0430,1.5432,0.9974,0.3719,0.4318,0.6008,1.0026,1.7227,1.3571,1.5610,1.7671,0.3601,0.2079,0.2818,0.1627,0.4641,0.2680,0.1674,0.0966
646,28,34428,LC/MS Neg,100001445,5600,409.23606,17618-08-5,6419701,C04036,,Lipids,Phospholipids,1-palmitoyl-GPA (16:0),0.3399,0.2396,0.4323,0.4502,0.3817,0.3129,0.5017,0.5648,0.5441,2.1916,1.7646,1.1162,0.0787,0.0454,0.0561,0.0324,0.0263,0.0152,0.4421,0.2553
647,29,33955,LC/MS Pos,100001263,5670,496.33977,17364-16-8,86554,,2-Acylglycero-Phosphocholines,Lipids,Phospholipids,1-palmitoyl-GPC (16:0),0.4065,0.3849,0.2493,1.7021,2.2860,1.6324,0.3167,0.4459,0.1734,0.9404,2.6786,3.8943,0.0696,0.0402,0.2931,0.1692,0.1113,0.0643,1.2122,0.6999
648,30,35631,LC/MS Neg,100001567,6057.2,452.27826,,9547069,,2-Lysophosphatidylcholines,Lipids,Phospholipids,1-palmitoyl-GPE (16:0),1.0000,0.7641,1.7316,0.6664,0.7405,1.0777,0.9991,2.2021,1.8692,6.7931,5.0857,3.6085,0.4119,0.2378,0.1790,0.1033,0.5072,0.2928,1.3012,0.7513
689,31,45970,LC/MS Neg,100005717,5570,483.27284,,3300276,,,Lipids,Phospholipids,1-palmitoyl-GPG (16:0)*,0.6905,0.6008,1.2055,0.7350,0.6056,0.7844,1.0533,1.7638,1.6863,4.8173,3.2160,2.4564,0.2664,0.1538,0.0754,0.0435,0.3182,0.1837,0.9840,0.5681
649,32,35305,LC/MS Neg,100001655,5564,571.28888,,,,,Lipids,Phospholipids,1-palmitoyl-GPI (16:0)*,0.1453,0.1453,0.2706,0.1453,0.1453,0.1453,0.3020,1.0179,0.7856,1.4100,0.7039,0.4994,0.0591,0.0341,0.0000,0.0000,0.2982,0.1722,0.3901,0.2252
650,33,33961,LC/MS Neg,100001271,6870,598.37255,19420-57-6,497299,,,Lipids,Phospholipids,1-stearoyl-GPC (18:0),1.1143,1.0546,2.8533,1.0062,0.7844,1.1168,0.9938,1.5174,1.6565,4.3085,3.2666,1.9935,0.8342,0.4816,0.1382,0.0798,0.2853,0.1647,0.9467,0.5466
225,34,38276,LC/MS Polar,100002417,1050,133.05063,1756-18-9,677,C04039,DIOH-ISOVALERATE,Amino acid,Branched Chain Amino Acids (pyruvate derived),"2,3-dihydroxyisovalerate",0.6453,0.9680,1.3071,0.5593,0.4626,0.8853,0.2479,0.3515,0.2765,0.2479,0.2479,0.2479,0.2702,0.1560,0.1808,0.1044,0.0437,0.0252,0.0000,0.0000
1342,35,35892,LC/MS Neg,100001718,1574,169.01424,83-30-7,66520,,,Secondary metabolism,Benzenoids,"2,4,6-trihydroxybenzoate",0.3294,0.2630,0.5636,0.1012,0.4004,0.4581,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.1289,0.0744,0.1564,0.0903,0.0000,0.0000,0.0000,0.0000
98,36,6146,LC/MS Pos,381,793.3,162.07609,542-32-5;1118-90-7,469,C00956,CPD-468,Amino acid,Aspartate family (OAA derived),2-aminoadipate,0.7926,1.3078,1.0039,0.9724,0.9961,1.1841,1.2923,0.6226,0.6889,0.7777,0.9419,0.4463,0.2115,0.1221,0.0947,0.0547,0.3013,0.1740,0.2061,0.1190
151,37,1577,GC/MS,1128,1215.7,130,1492-24-6,439691,C02261,2-Aminobutyrate,Amino acid,Glutamate family (alpha-ketoglutarate derived),2-aminobutyrate,0.1153,0.1191,0.1649,0.2704,0.1176,0.1952,0.2310,0.2698,0.1792,0.1560,0.2444,0.1153,0.0225,0.0130,0.0624,0.0360,0.0371,0.0214,0.0539,0.0311
908,38,1553,LC/MS Pos,211,1643,252.10912,16373-93-6,13730,C00559,DEOXYADENOSINE,Nucleotide,Purine metabolism,2'-deoxyadenosine,0.2387,0.4139,0.7874,0.4325,0.3286,0.4302,0.2576,0.5959,0.2781,0.3315,0.3674,0.2060,0.2288,0.1321,0.0484,0.0280,0.1549,0.0894,0.0692,0.0399
958,39,46333,LC/MS Neg,100000485,1315,330.06089,653-63-4,12599,C00360,,Nucleotide,Purine metabolism,2'-deoxyadenosine 5'-monophosphate,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.4071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
963,40,15949,LC/MS Pos,100000125,1252.2,228.09789,951-77-9,13711,C00881,DEOXYCYTIDINE,Nucleotide,Pyrimidine metabolism,2'-deoxycytidine,0.0712,0.1527,0.6178,0.0894,0.0594,0.2103,0.1158,0.6455,0.1845,0.1838,0.0733,0.0326,0.2408,0.1390,0.0652,0.0377,0.2352,0.1358,0.0639,0.0369
964,41,533,LC/MS Pos,298,1125.5,308.06422,1032-65-1,13945,C00239,DCM,Nucleotide,Pyrimidine metabolism,2'-deoxycytidine 5'-monophosphate,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.3522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
909,42,1411,LC/MS Neg,348,1751,266.08948,961-07-9,187790,C00330,DEOXYGUANOSINE,Nucleotide,Purine metabolism,2'-deoxyguanosine,0.3730,0.4637,1.0040,0.5865,0.5302,0.5566,0.3760,0.7074,0.3431,0.4071,0.4540,0.2291,0.2786,0.1608,0.0230,0.0133,0.1645,0.0950,0.0969,0.0559
911,43,15076,LC/MS Neg,100000135,1688,251.07857,890-38-0,65058,C05512,,Nucleotide,Purine metabolism,2'-deoxyinosine,0.1021,0.1021,0.1021,0.1021,0.1021,0.1585,0.1021,0.1021,0.1021,0.1021,0.1169,0.1021,0.0000,0.0000,0.0266,0.0154,0.0000,0.0000,0.0070,0.0040
965,44,1412,LC/MS Neg,536,1585.5,111.01997,951-78-0,13712,C00526,DEOXYURIDINE,Nucleotide,Pyrimidine metabolism,2'-deoxyuridine,0.2441,0.4404,1.0679,0.5789,0.5846,0.6207,0.5138,0.7693,0.2180,0.3154,0.4323,0.1678,0.3513,0.2028,0.0185,0.0107,0.2253,0.1301,0.1082,0.0625
228,45,36746,LC/MS Neg,100001541,1800,131.07136,488-15-3,164623,,,Amino acid,Branched Chain Amino Acids (pyruvate derived),2-hydroxy-3-methylvalerate,0.9054,1.1684,1.2407,0.7936,0.8405,1.3648,0.5192,0.5196,0.7157,0.5135,0.4737,0.4737,0.1441,0.0832,0.2589,0.1495,0.0925,0.0534,0.0188,0.0108
139,46,31934,LC/MS Polar,100001153,3000,161.04554,18294-85-4,193530,C02360,,Amino acid,Aspartate family (OAA derived),2-hydroxyadipate,0.6802,0.9225,1.5894,0.7266,1.1273,1.5174,0.6843,0.4204,0.4976,0.8740,0.8111,0.5470,0.3844,0.2220,0.3229,0.1864,0.1108,0.0640,0.1417,0.0818
815,47,37253,LC/MS Polar,100002070,3352.8,147.02989,40951-21-1,43,C02630,CPD-381,Lipids,"Fatty acid, Dicarboxylate",2-hydroxyglutarate,0.8349,0.7703,1.2088,0.9739,1.0261,0.9070,0.8238,1.2080,0.8393,0.7001,0.5987,0.4119,0.1933,0.1116,0.0487,0.0281,0.1776,0.1025,0.1194,0.0689
561,48,22036,LC/MS Neg,100000743,3736.8,159.10266,617-73-2,94180,,,Lipids,Free fatty acid,2-hydroxyoctanoate,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.7596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
484,49,35675,LC/MS Neg,100001579,5511.2,271.22786,764-67-0,92836,,,Lipids,Free fatty acid,2-hydroxypalmitate,0.6654,0.5092,0.9944,0.4151,0.4620,0.3720,0.5671,0.8619,0.8105,1.3601,0.9522,0.5594,0.2022,0.1168,0.0368,0.0212,0.1286,0.0742,0.3269,0.1887
485,50,17945,LC/MS Neg,1239,5695,299.25917,629-22-1,69417,C03045,,Lipids,Free fatty acid,2-hydroxystearate,0.8055,0.7718,1.4115,0.5805,0.4909,0.5864,0.5833,1.0465,0.8141,1.4352,0.9535,0.8188,0.2939,0.1697,0.0437,0.0252,0.1891,0.1092,0.2646,0.1528
249,51,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,C02504,3-CARBOXY-3-HYDROXY-ISOCAPROATE,Amino acid,Branched Chain Amino Acids (pyruvate derived),2-isopropylmalate,1.0000,0.4746,1.3055,0.0364,0.0364,0.0364,0.1281,0.2312,0.4026,0.4704,0.0364,0.0686,0.3432,0.1981,0.0000,0.0000,0.1132,0.0654,0.1974,0.1140
614,52,32506,LC/MS Neg,100000987,6250,279.23293,3443-82-1,5365676,,,Lipids,Glycerolipids,2-linoleoylglycerol (18:2),0.3515,0.2570,0.7847,0.2250,0.0916,0.0916,0.0916,0.3649,0.5036,1.2043,0.7526,0.4341,0.2297,0.1326,0.0629,0.0363,0.1712,0.0988,0.3160,0.1824
301,53,37483,LC/MS Polar,90,4565.3,205.03538,6061-96-7,439681,C02225,,Carbohydrate,TCA cycle,2-methylcitrate,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
616,54,21232,LC/MS Neg,100000943,6950,281.24858,3443-84-3,5319879,,,Lipids,Glycerolipids,2-oleoylglycerol (18:1),0.2444,0.3906,0.7005,0.4022,0.0915,0.1503,0.1094,0.2535,0.6997,0.9284,1.1442,0.7102,0.1902,0.1098,0.1348,0.0778,0.2513,0.1451,0.1772,0.1023
954,55,42607,LC/MS Pos,100004047,1853,282.11968,2140-79-6,102213,,,Nucleotide,Purine metabolism,2'-O-methyladenosine,0.8065,0.5915,1.0204,2.6220,3.0269,2.8067,0.2986,0.2224,0.4233,3.5075,4.3373,1.9954,0.1751,0.1011,0.1655,0.0956,0.0828,0.0478,0.9695,0.5597
1297,56,40479,LC/MS Pos,100003109,3208,192.06552,2971-31-5,3080590,,2-OXINDOLE-3-ACETIC-ACID,Hormone metabolism,Auxin metabolism,2-oxindole-3-acetate,0.3921,0.3921,0.3921,1.0000,0.3921,0.3921,0.3921,0.3921,0.6887,0.3921,0.3921,0.3921,0.0000,0.0000,0.2866,0.1654,0.1398,0.0807,0.0000,0.0000
657,57,35253,LC/MS Pos,100001562,5610,496.33977,,15061532,,,Lipids,Phospholipids,2-palmitoyl-GPC (16:0)*,0.3561,0.3561,0.3561,0.3561,0.5757,0.4573,0.3561,0.3561,0.3561,0.3561,0.5369,0.8551,0.0000,0.0000,0.0897,0.0518,0.0000,0.0000,0.2063,0.1191
136,58,43400,LC/MS Pos,100004295,2047,100.07569,675-20-7,12665,,,Amino acid,Aspartate family (OAA derived),2-piperidinone,0.6127,0.6492,0.7721,0.9347,0.7830,1.0402,0.7255,1.2019,0.6587,1.4779,1.3136,1.3026,0.0682,0.0394,0.1056,0.0609,0.2419,0.1396,0.0802,0.0463
152,59,31675,LC/MS Pos,100001081,1651.8,86.06004,616-45-5,12025,,,Amino acid,Glutamate family (alpha-ketoglutarate derived),2-pyrrolidinone,0.8555,0.8330,1.9248,0.6703,0.9798,0.7168,0.8703,1.1664,0.8626,0.3493,0.3043,0.2728,0.5095,0.2941,0.1363,0.0787,0.1414,0.0817,0.0314,0.0181
31,60,32197,LC/MS Neg,240,1379,181.05063,6482-98-0,9378,C03672,CPD-2222,Amino acid,Aromatic amino acid metabolism (PEP derived),3-(4-hydroxyphenyl)lactate,0.9568,1.0183,1.2238,1.2587,1.2270,1.9854,0.8968,0.9193,1.3348,1.0350,0.6711,0.7922,0.1142,0.0659,0.3503,0.2022,0.2014,0.1163,0.1513,0.0874
77,61,39587,LC/MS Neg,100002914,1670,165.05571,501-97-3,10394,C01744,,Amino acid,Aromatic amino acid metabolism (PEP derived),3-(4-hydroxyphenyl)propionate,0.1087,0.1087,0.1759,0.2315,0.2438,0.1706,0.1171,0.1125,0.1804,0.3310,0.1087,0.1765,0.0317,0.0183,0.0320,0.0185,0.0310,0.0179,0.0930,0.0537
966,62,1566,GC/MS,1114,1252.2,102,10569-72-9;214139-20-5,64956,C05145,3-AMINO-ISOBUTYRATE,Nucleotide,Pyrimidine metabolism,3-aminoisobutyrate,0.2881,0.2881,0.3764,0.2881,0.2881,0.2881,0.2881,0.5821,0.2881,0.2881,0.2881,0.2881,0.0416,0.0240,0.0000,0.0000,0.1386,0.0800,0.0000,0.0000
397,63,43805,LC/MS Polar,100000095,2706.7,237.06159,103404-70-2,4636210,,KDO,Carbohydrate,"Sucrose, glucose,fructose metabolism",3-deoxyoctulosonate,0.9937,0.8473,1.1731,1.2420,1.2913,1.1577,0.6971,0.9385,0.5918,0.5577,0.6221,0.2805,0.1332,0.0769,0.0552,0.0318,0.1451,0.0838,0.1482,0.0856
741,64,531,LC/MS Polar,112,2700,161.04555,503-49-1,1662,C03761,,Lipids,Sterols,3-hydroxy-3-methylglutarate,0.4828,0.5814,1.0185,0.4698,0.6124,0.8396,0.5074,0.7328,0.4803,0.4216,0.3914,0.2812,0.2328,0.1344,0.1523,0.0879,0.1132,0.0653,0.0603,0.0348
757,65,542,LC/MS Polar,254,1443.3,103.04007,625-72-9,441,C01089,Hydroxy-Butyrates,Lipids,Cutin and cuticular,3-hydroxybutyrate (BHBA),0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.6438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1590,66,42561,LC/MS Pos,100003823,2645,132.0444,61-71-2,6097,C11130,,Secondary metabolism,Benzoxazinoids,3-hydroxyindolin-2-one,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,67,1549,LC/MS Polar,111,1619.1,103.04007,2068-83-9,87,C06001,CPD-12175,Amino acid,Branched Chain Amino Acids (pyruvate derived),3-hydroxyisobutyrate,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.5724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
489,68,22001,LC/MS Neg,100000773,3446,159.10266,88930-08-9,26613,,,Lipids,Free fatty acid,3-hydroxyoctanoate,0.1363,0.1363,0.2102,0.1363,0.1966,0.1460,0.2207,0.1578,0.1363,0.1363,0.1876,0.1440,0.0348,0.0201,0.0264,0.0153,0.0358,0.0207,0.0226,0.0130
36,69,12017,LC/MS Pos,1342,1771,212.09174,300-48-1,1670,,,Amino acid,Aromatic amino acid metabolism (PEP derived),3-methoxytyrosine,0.2329,0.1345,0.5223,0.4729,0.5702,0.5757,0.9429,0.9958,0.8800,2.2004,1.3478,1.6805,0.1646,0.0950,0.0472,0.0273,0.0473,0.0273,0.3509,0.2026
231,70,44526,LC/MS Polar,100000936,911,115.04006,3715-29-5,49,C00141,2-KETO-ISOVALERATE,Amino acid,Branched Chain Amino Acids (pyruvate derived),3-methyl-2-oxobutyrate,0.2123,0.2123,0.3542,0.2123,0.2940,0.8868,0.2555,0.2123,0.2123,0.2123,0.2123,0.2123,0.0669,0.0386,0.3006,0.1735,0.0204,0.0118,0.0000,0.0000
232,71,15676,LC/MS Neg,100000036,2064.2,129.05572,1460-34-0;51829-07-3,47,C00671,2-KETO-3-METHYL-VALERATE,Amino acid,Branched Chain Amino Acids (pyruvate derived),3-methyl-2-oxovalerate,0.1835,0.3005,0.2771,0.2500,0.1872,0.2969,0.2688,0.2628,0.3440,0.3777,0.3433,0.2670,0.0505,0.0292,0.0449,0.0259,0.0369,0.0213,0.0463,0.0267
153,72,15677,LC/MS Neg,100000042,906.3,168.07785,368-16-1,64969,C01152,,Amino acid,Glutamate family (alpha-ketoglutarate derived),3-methylhistidine,0.3417,0.4576,0.3417,0.7939,0.8209,1.0000,0.4980,0.3417,0.8777,1.2905,2.5234,0.8408,0.0546,0.0315,0.0915,0.0528,0.2251,0.1299,0.7113,0.4107
1001,73,3155,LC/MS Pos,1053,1090.6,133.06077,462-88-4,111,C02642,3-UREIDO-PROPIONATE,Nucleotide,Pyrimidine metabolism,3-ureidopropionate,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
